url,title,location,rooms,price,m2,plot_m2
https://www.otodom.pl/oferta/wielka-obnizka-ceny-dom-w-luboniu-bez-prowizji-ID46GtC.html#4f9791ef49,Wielka OBNIŻKA CENY ! Dom w Luboniu! Bez PROWIZJI,"Luboń, poznański, wielkopolskie",3 pokoje,378 000 zł,"65,86 m²",działka 320 m²
https://www.otodom.pl/oferta/nowy-dom-w-lesie-ID46hdp.html#4f9791ef49,Nowy dom w lesie,"Żytowań, krośnieński, lubuskie",3 pokoje,700 000 zł,150 m²,działka 6 000 m²
https://www.otodom.pl/oferta/letnia-obnizka-ceny-dom-z-ogrodem-w-luboniu-ID46Guv.html#4f9791ef49,Letnia OBNIŻKA CENY !!! Dom z OGRODEM w Luboniu!!!,"Luboń, poznański, wielkopolskie",3 pokoje,365 000 zł,"62,85 m²",działka 320 m²
https://www.otodom.pl/oferta/dom-z-garazem-bezposrednio-zostala-1-polowka-ID44hwD.html#4f9791ef49,"Dom z garażem, BEZPOŚREDNIO, zostala 1 połówka","Leszno, Zaborowo",4 pokoje,399 000 zł,140 m²,działka 570 m²
https://www.otodom.pl/oferta/okazja-5900-zl-pozostaly-juz-tylko-trzy-mieszkania-ID454T9.html#4f9791ef49,Okazja 5900 zł-pozostały już tylko trzy mieszkania,"Marki, wołomiński, mazowieckie",3 pokoje,577 269 zł,"91,63 m²",działka 630 m²
https://www.otodom.pl/oferta/domy-112-m2-z-garazem-i-ogrodkiem-promocja-ID45GWi.html#4f9791ef49,Domy 112 m2 z garażem i ogródkiem. PROMOCJA!,"Lesznowola, piaseczyński, mazowieckie",5 pokoi,555 000 zł,"112,62 m²",działka 180 m²
https://www.otodom.pl/oferta/nowoczesny-dom-wilanow-6-pokoi-ID41oqK.html#4f9791ef49,Nowoczesny dom - Wilanów - 6 pokoi.,"Warszawa, Wilanów",6 pokoi,1 250 000 zł,"210,18 m²",działka 400 m²
https://www.otodom.pl/oferta/nowosc-nowosc-najnowszy-nasz-projekt-ID46Jnj.html#4f9791ef49,Nowość Nowość Najnowszy nasz projekt,"Gniewomirowice, legnicki, dolnośląskie",4 pokoje,399 000 zł,"110,19 m²",działka 714 m²
https://www.otodom.pl/oferta/nowosc-nowosc-najnowszy-nasz-projekt-ID46Jnm.html#4f9791ef49,Nowość Nowość Najnowszy nasz projekt,"Legnica, dolnośląskie",4 pokoje,399 000 zł,"110,19 m²",
https://www.otodom.pl/oferta/wlasny-dom-z-dzialka-w-cenie-mieszkania-ID46Jnh.html#4f9791ef49,Własny dom z działką w cenie mieszkania !!!,"Legnica, dolnośląskie",3 pokoje,329 000 zł,"69,69 m²",
https://www.otodom.pl/oferta/apartamenty-bez-czynszu-ID440N7.html#4f9791ef49,Apartamenty Bez czynszu !,"Kieźliny, olsztyński, warmińsko-mazurskie",3 pokoje,289 000 zł,"62,50 m²",działka 150 m²
https://www.otodom.pl/oferta/nowy-dom-garaz-piwnica-os-starzynskiego-kresow-ID41vB9.html#4f9791ef49,"Nowy dom, garaż, piwnica os.Starzyńskiego/Kresów","Bolesławiec, bolesławiecki, dolnośląskie",4 pokoje,519 000 zł,150 m²,działka 220 m²
https://www.otodom.pl/oferta/lux-super-energooszczedny-rekuperator-podlogowka-ID46f63.html#4f9791ef49,LUX!!-Super Energooszczędny-Rekuperator-Podłogówka,"Wrocław, Fabryczna",4 pokoje,649 000 zł,124 m²,działka 479 m²
https://www.otodom.pl/oferta/przepiekny-dom-na-obrzezach-warszawy-ID46ml0.html#4f9791ef49,Przepiękny dom na obrzeżach Warszawy,"Kaputy, warszawski zachodni, mazowieckie",5 pokoi,758 000 zł,"129,97 m²",
https://www.otodom.pl/oferta/piekny-dom-na-przedmiesciach-warszawy-07-2020r-ID46p08.html#4f9791ef49,"Piękny dom, na przedmieściach Warszawy (07.2020r)","Warszawa, Bemowo, Chrzanów",4 pokoje,730 000 zł,134 m²,działka 177 m²
https://www.otodom.pl/oferta/dom-z-duzym-ogrodkiem-w-cenie-mieszkania-ID46wVn.html#4f9791ef49,Dom z dużym ogródkiem w cenie mieszkania,"Brwinów, pruszkowski, mazowieckie",4 pokoje,519 000 zł,"100,60 m²",działka 216 m²
https://www.otodom.pl/oferta/wawer-przestronny-dom-dla-rodziny-inwestora-ID46rrf.html#4f9791ef49,WAWER_Przestronny dom dla rodziny / inwestora,"Warszawa, Wawer",7 pokoi,950 000 zł,129 m²,działka 858 m²
https://www.otodom.pl/oferta/dom-przeczyce-stan-surowy-deweloperski-dom-110m2-ID46g4P.html#4f9791ef49,"Dom Przeczyce Stan Surowy, Deweloperski Dom 110m2","Przeczyce, będziński, śląskie",4 pokoje,300 000 zł,110 m²,działka 700 m²
