url,title,location,rooms,price,m2,plot_m2
https://www.otodom.pl/oferta/tradycyjny-dom-z-bala-wraz-z-dzialka-krynki-okazja-ID2UeC9.html#df72e7e30a,Tradycyjny dom z bala wraz z działką Krynki OKAZJA,"Krynki, sokólski, podlaskie",4 pokoje,115 000 zł,75 m²,działka 920 m²
https://www.otodom.pl/oferta/nowoczesny-dom-w-centrum-bytomia-ID46obV.html#df72e7e30a,Nowoczesny dom w centrum Bytomia,"Bytom, Centrum",6 pokoi,649 000 zł,120 m²,działka 1 000 m²
https://www.otodom.pl/oferta/sprzedam-dom-w-janowcu-wielkopolskim-ID46Jog.html#df72e7e30a,Sprzedam dom w Janowcu Wielkopolskim,"Janowiec Wielkopolski, żniński, kujawsko-pomorskie",3 pokoje,350 000 zł,200 m²,działka 930 m²
https://www.otodom.pl/oferta/dom-blizniak-140m-garaz-i-ogrod-w-cenie-kuchnia-ID46Joh.html#df72e7e30a,"Dom/Bliźniak 140m,garaż i ogród. W cenie kuchnia","Palędzie, poznański, wielkopolskie",5 pokoi,749 000 zł,140 m²,działka 490 m²
https://www.otodom.pl/oferta/dom-marzen-blisko-centrum-warszawy-bezposrednio-ID46ad2.html#df72e7e30a,DOM MARZEŃ. Blisko centrum Warszawy. Bezpośrednio!,"Warszawa, mazowieckie",6 pokoi,2 499 000 zł,342 m²,działka 950 m²
https://www.otodom.pl/oferta/duzy-dom-na-dom-seniora-keszyca-lesna-miedzyrzecz-ID3jNMa.html#df72e7e30a,"Duży dom na dom seniora Kęszyca Leśna, Międzyrzecz","Kęszyca Leśna, międzyrzecki, lubuskie",>10 pokoi,499 000 zł,1 140 m²,działka 2 377 m²
https://www.otodom.pl/oferta/dom-560-m-lomianki-ID46Jo3.html#df72e7e30a,"Dom, 560 m², Łomianki","Łomianki, Dąbrowa",8 pokoi,2 800 000 zł,560 m²,działka 2 325 m²
https://www.otodom.pl/oferta/ultra-nowoczesna-willa-na-wzgorzu-styl-hollywood-ID439mQ.html#df72e7e30a,UlTRA NOWOCZESNA willa na wzgórzu styl HOLLYWOOD,"Gdańsk, Osowa",6 pokoi,3 890 000 zł,322 m²,działka 1 000 m²
https://www.otodom.pl/oferta/nowa-nizsza-cena-duzy-dom-do-wlasnej-aranzacji-ID46JnL.html#df72e7e30a,Nowa Niższa Cena Duży Dom Do Własnej Aranżacji,"Zielona Góra, Racula",5 pokoi,499 000 zł,250 m²,działka 899 m²
https://www.otodom.pl/oferta/okazja-dom-209-70-m2-z-grodem-1457-m2-jablonna-ID45Q9n.html#df72e7e30a,"Okazja! Dom 209,70 m2 z grodem 1457 m2 | Jabłonna","Jabłonna, legionowski, mazowieckie",6 pokoi,990 000 zł,"209,70 m²",działka 1 457 m²
https://www.otodom.pl/oferta/wolnostojacy-dom-zakret-0-prowizji-ID46b4c.html#df72e7e30a,Wolnostojący dom Zakręt 0% prowizji,"Zakręt, otwocki, mazowieckie",4 pokoje,850 000 zł,203 m²,działka 650 m²
https://www.otodom.pl/oferta/blizniak-z-bierunia-szuka-wlasciciela-ID45UsM.html#df72e7e30a,Bliźniak z Bierunia szuka właściciela,"Bieruń, bieruńsko-lędziński, śląskie",5 pokoi,509 000 zł,109 m²,działka 370 m²
https://www.otodom.pl/oferta/segment-skrajny-135-m2-dzialka-350-m2-bezposrednio-ID44CLJ.html#df72e7e30a,Segment skrajny 135 m2 działka 350 m2 bezpośrednio,"Warszawa, Białołęka",4 pokoje,929 000 zł,135 m²,działka 350 m²
https://www.otodom.pl/oferta/nowoczesny-styl-dom-lublin-matczyn-ID46GVZ.html#df72e7e30a,Nowoczesny styl Dom Lublin Matczyn,"Matczyn, lubelski, lubelskie",5 pokoi,1 250 000 zł,240 m²,działka 2 600 m²
https://www.otodom.pl/oferta/dom-do-remontu-kruszwica-ID45Zun.html#df72e7e30a,Dom do remontu Kruszwica.,"Kruszwica, inowrocławski, kujawsko-pomorskie",4 pokoje,225 000 zł,108 m²,działka 1 221 m²
https://www.otodom.pl/oferta/dom-w-orlach-przy-glownej-drodze-ID46ciR.html#df72e7e30a,Dom w Orłach - przy głównej drodze !,"Orły, przemyski, podkarpackie",7 pokoi,499 000 zł,382 m²,działka 2 869 m²
https://www.otodom.pl/oferta/nowoczesny-eko-dom-stodola-z-duzym-ogrodem-ID46rob.html#df72e7e30a,Nowoczesny Eko Dom - Stodoła z dużym ogrodem,"Dobrzykowice, wrocławski, dolnośląskie",3 pokoje,1 200 000 zł,182 m²,działka 1 000 m²
https://www.otodom.pl/oferta/dom-300-m-wilcze-ID45ehV.html#df72e7e30a,"Dom, 300 m², Wilcze","Wilcze, bydgoski, kujawsko-pomorskie",6 pokoi,950 000 zł,300 m²,działka 1 450 m²
https://www.otodom.pl/oferta/dom-150-m-lochowo-ID45h7Y.html#df72e7e30a,"Dom, 150 m², Łochowo","Łochowo, bydgoski, kujawsko-pomorskie",5 pokoi,760 000 zł,150 m²,działka 878 m²
https://www.otodom.pl/oferta/dom-130-m-lipniki-ID45m1r.html#df72e7e30a,"Dom, 130 m², Lipniki","Lipniki, bydgoski, kujawsko-pomorskie",4 pokoje,399 000 zł,130 m²,działka 1 505 m²
https://www.otodom.pl/oferta/dom-200-m-bydgoszcz-ID467J7.html#df72e7e30a,"Dom, 200 m², Bydgoszcz","Bydgoszcz, Flisy",7 pokoi,649 000 zł,200 m²,działka 507 m²
https://www.otodom.pl/oferta/dom-110-m-smolniki-ID4698L.html#df72e7e30a,"Dom, 110 m², Smolniki","Smolniki, nakielski, kujawsko-pomorskie",4 pokoje,360 000 zł,110 m²,działka 700 m²
https://www.otodom.pl/oferta/dom-200-m-rynarzewo-ID46bDg.html#df72e7e30a,"Dom, 200 m², Rynarzewo","Rynarzewo, nakielski, kujawsko-pomorskie",4 pokoje,480 000 zł,200 m²,działka 1 000 m²
https://www.otodom.pl/oferta/dom-bungalow-na-piaskach-ID45ran.html#2536bcf1f3,Dom Bungalow na Piaskach !!,"Bydgoszcz, Piaski",5 pokoi,849 000 zł,306 m²,działka 945 m²
https://www.otodom.pl/oferta/dom-142-m-bydgoszcz-ID46fv1.html#2536bcf1f3,"Dom, 142 m², Bydgoszcz","Bydgoszcz, Osiedle Leśne",5 pokoi,639 000 zł,142 m²,działka 264 m²
https://www.otodom.pl/oferta/dom-55-m-dobrcz-ID46ngi.html#2536bcf1f3,"Dom, 55 m², Dobrcz","Dobrcz, bydgoski, kujawsko-pomorskie",4 pokoje,118 000 zł,55 m²,działka 300 m²
https://www.otodom.pl/oferta/dom-190-m-bydgoszcz-ID45qjf.html#2536bcf1f3,"Dom, 190 m², Bydgoszcz","Bydgoszcz, Miedzyń",4 pokoje,870 000 zł,190 m²,działka 400 m²
